"","Precinct","First","Second","Third","Ward"
"1","P-10","BETSY HODGES","undervote","undervote","W-7"
"2","P-06","BOB FINE","MARK ANDREW","undervote","W-10"
"3","P-09","KURTIS W. HANNA","BOB FINE","MIKE GOULD","W-10"
"4","P-05","BETSY HODGES","DON SAMUELS","undervote","W-13"
"5","P-01","DON SAMUELS","undervote","undervote","W-5"
"6","P-04","undervote","undervote","undervote","W-6"
"7","P-05","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-1"
"8","P-01","BETSY HODGES","MARK ANDREW","undervote","W-12"
"9","P-06","CAM WINTON","undervote","undervote","W-4"
"10","P-02D","NEAL BAXTER","BETSY HODGES","DON SAMUELS","W-7"
"11","P-09","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"12","P-06","MARK ANDREW","DON SAMUELS","JAMES EVERETT","W-13"
"13","P-02","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-1"
"14","P-02","OLE SAVIOR","undervote","undervote","W-11"
"15","P-04","MARK ANDREW","BETSY HODGES","BOB FINE","W-8"
"16","P-02","MARK ANDREW","JACKIE CHERRYHOMES","undervote","W-12"
"17","P-09","BETSY HODGES","undervote","undervote","W-7"
"18","P-01","BETSY HODGES","DON SAMUELS","CAM WINTON","W-2"
"19","P-08","BETSY HODGES","BOB FINE","DON SAMUELS","W-12"
"20","P-07","BETSY HODGES","MARK ANDREW","JACKIE CHERRYHOMES","W-7"
"21","P-05","JACKIE CHERRYHOMES","DON SAMUELS","MARK ANDREW","W-1"
"22","P-08","JACKIE CHERRYHOMES","undervote","undervote","W-12"
"23","P-02","DOUG MANN","BETSY HODGES","DAN COHEN","W-2"
"24","P-02","BETSY HODGES","BOB FINE","DON SAMUELS","W-2"
"25","P-01","BETSY HODGES","STEPHANIE WOODRUFF","DON SAMUELS","W-11"
"26","P-05","MARK ANDREW","STEPHANIE WOODRUFF","undervote","W-2"
"27","P-03","CAM WINTON","DON SAMUELS","OLE SAVIOR","W-1"
"28","P-03","MARK V ANDERSON","DAN COHEN","BETSY HODGES","W-6"
"29","P-05","BETSY HODGES","JAYMIE KELLY","CHRISTOPHER ROBIN ZIMMERMAN","W-8"
"30","P-05","BOB FINE","OLE SAVIOR","DAN COHEN","W-13"
"31","P-07","MARK ANDREW","JACKIE CHERRYHOMES","BETSY HODGES","W-11"
"32","P-07","JAYMIE KELLY","BETSY HODGES","DON SAMUELS","W-1"
"33","P-03","MARK ANDREW","NEAL BAXTER","BETSY HODGES","W-7"
"34","P-03","MARK ANDREW","BETSY HODGES","BOB FINE","W-13"
"35","P-05","BETSY HODGES","DON SAMUELS","CAM WINTON","W-7"
"36","P-05","JACKIE CHERRYHOMES","DON SAMUELS","MARK ANDREW","W-11"
"37","P-07","DON SAMUELS","MARK ANDREW","OLE SAVIOR","W-10"
"38","P-06","BETSY HODGES","MARK ANDREW","ALICIA K. BENNETT","W-10"
"39","P-08","MARK ANDREW","BILL KAHN","TONY LANE","W-2"
"40","P-01","BOB FINE","BILL KAHN","CAM WINTON","W-3"
"41","P-07","BETSY HODGES","DON SAMUELS","MARK V ANDERSON","W-3"
"42","P-05","EDMUND BERNARD BRUYERE","undervote","undervote","W-7"
"43","P-08","BETSY HODGES","DON SAMUELS","BOB FINE","W-12"
"44","P-05","BETSY HODGES","DON SAMUELS","MARK ANDREW","W-12"
"45","P-04","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"46","P-04","JACKIE CHERRYHOMES","BETSY HODGES","BOB FINE","W-3"
"47","P-06","DAN COHEN","OLE SAVIOR","CHRISTOPHER CLARK","W-9"
"48","P-07","BETSY HODGES","MARK ANDREW","DON SAMUELS","W-13"
"49","P-01","CAM WINTON","undervote","undervote","W-13"
